Epoch,Train Accuracy,Validation Accuracy,Test Accuracy,Train Recall,Validation Recall,Test Recall,Train Specificity,Validation Specificity,Test Specificity,Train Precision,Validation Precision,Test Precision,Train F-Score,Validation F-Score,Test F-Score,Train Loss,Validation Loss,Test Loss
1,0.10098870056497175,0.08250825082508251,0.12171052631578948,0.10098870056497175,0.08250825082508251,0.12171052631578948,,,,0.010205925216106686,0.006807611454214727,0.014862341497307627,0.018538362234648217,0.012577477259921114,0.026489938080495355,2.363324802370768,2.363324802370768,0.12171052631578948
2,0.12076271186440678,0.09900990099009901,0.14802631578947367,0.12076271186440678,0.09900990099009901,0.14802631578947367,,,,0.02422525117586485,0.01592867620095343,0.03491530781396686,0.036731665296039204,0.025722456135308738,0.051743165665213045,2.306216891791458,2.334770847081113,0.14802631578947367
3,0.1709039548022599,0.1419141914191419,0.20065789473684212,0.1709039548022599,0.1419141914191419,0.20065789473684212,,,,0.2307971323046086,0.23110561056105614,0.15001307469215042,0.10073939094135248,0.08682198380345688,0.1116857958910294,2.254082018632415,2.307874570931547,0.20065789473684212
4,0.19562146892655366,0.1782178217821782,0.2138157894736842,0.19562146892655366,0.1782178217821782,0.2138157894736842,1.0,1.0,1.0,0.2918675077240267,0.30502774251472253,0.18989609842577063,0.1292546573511724,0.12915704808405706,0.14110898385657947,2.1793692636604947,2.275748244113784,0.2138157894736842
5,0.2803672316384181,0.2607260726072607,0.26973684210526316,0.2803672316384181,0.2607260726072607,0.26973684210526316,1.0,1.0,1.0,0.204673053911873,0.2374496262585404,0.17591743985612257,0.19484369420512573,0.19442969292433648,0.18037387815973407,2.0827377106870357,2.2371461374284345,0.26973684210526316
6,0.3298022598870056,0.31683168316831684,0.3125,0.3298022598870056,0.31683168316831684,0.3125,1.0,1.0,1.0,0.2453386753151193,0.2554424771375363,0.19102612304514527,0.24041278452512058,0.23425205877895428,0.2264744663631256,1.9544584696617986,2.190031526133995,0.3125
7,0.3312146892655367,0.31683168316831684,0.35526315789473684,0.3312146892655367,0.31683168316831684,0.35526315789473684,0.9925925925925926,1.0,0.9615384615384616,0.21472860712641897,0.20152741532281426,0.2359921184540298,0.24490514919494277,0.23369235826311344,0.2633289589240757,1.7877100033409992,2.1325570228778528,0.35526315789473684
8,0.3700564971751412,0.3564356435643564,0.3717105263157895,0.3700564971751412,0.3564356435643564,0.3717105263157895,0.9927536231884058,0.9393939393939394,1.0,0.37219659489090834,0.3479122029480453,0.3248111694306959,0.3015715573170004,0.28054008156261956,0.3033162890790758,1.613943929252776,2.067730386174718,0.3717105263157895
9,0.393361581920904,0.3795379537953795,0.42105263157894735,0.393361581920904,0.3795379537953795,0.42105263157894735,1.0,1.0,1.0,0.4179781641744698,0.35266950516754264,0.4146110443702913,0.32726458502172096,0.30773307801298044,0.350136765756705,1.486322900909757,2.003129554478611,0.42105263157894735
10,0.4011299435028249,0.39603960396039606,0.4243421052631579,0.4011299435028249,0.39603960396039606,0.4243421052631579,1.0,1.0,1.0,0.3905391066479001,0.3489238379620275,0.4389855311642201,0.337121263043865,0.3267284554669549,0.3496792939682093,1.4047163798200992,1.9432882370127598,0.4243421052631579
