Arquivo de saída: /home/pojucan/Área de Trabalho/231009/scripts/PCA/efetivos/arquivo_treinamento_suavizado_metricas10_100_50_10.csv

Época 1: MAE no treinamento = 0.3770, MAE na validação = 0.3863, MAE no teste = 0.3633
Época 1: MSE no treinamento = 0.2121, MSE na validação = 0.2158, MSE no teste = 0.1996
Época 1: R-squared no treinamento = -1.5954, R-squared na validação = -1.4916, R-squared no teste = -1.4589
Época 1: LOSS no treinamento = 0.4611, LOSS na validação = -1.4916, LOSS no teste = -1.4589
Época 2: MAE no treinamento = 0.1775, MAE na validação = 0.1774, MAE no teste = 0.1753
Época 2: MSE no treinamento = 0.0481, MSE na validação = 0.0476, MSE no teste = 0.0466
Época 2: R-squared no treinamento = 0.4115, R-squared na validação = 0.4502, R-squared no teste = 0.4256
Época 2: LOSS no treinamento = 0.0685, LOSS na validação = 0.4502, LOSS no teste = 0.4256
Época 3: MAE no treinamento = 0.1629, MAE na validação = 0.1701, MAE no teste = 0.1634
Época 3: MSE no treinamento = 0.0390, MSE na validação = 0.0399, MSE no teste = 0.0393
Época 3: R-squared no treinamento = 0.5221, R-squared na validação = 0.5390, R-squared no teste = 0.5164
Época 3: LOSS no treinamento = 0.0213, LOSS na validação = 0.5390, LOSS no teste = 0.5164
Época 4: MAE no treinamento = 0.1524, MAE na validação = 0.1608, MAE no teste = 0.1569
Época 4: MSE no treinamento = 0.0329, MSE na validação = 0.0349, MSE no teste = 0.0350
Época 4: R-squared no treinamento = 0.5971, R-squared na validação = 0.5971, R-squared no teste = 0.5685
Época 4: LOSS no treinamento = 0.0187, LOSS na validação = 0.5971, LOSS no teste = 0.5685
Época 5: MAE no treinamento = 0.1421, MAE na validação = 0.1470, MAE no teste = 0.1470
Época 5: MSE no treinamento = 0.0289, MSE na validação = 0.0307, MSE no teste = 0.0316
Época 5: R-squared no treinamento = 0.6464, R-squared na validação = 0.6454, R-squared no teste = 0.6107
Época 5: LOSS no treinamento = 0.0156, LOSS na validação = 0.6454, LOSS no teste = 0.6107
Época 6: MAE no treinamento = 0.1374, MAE na validação = 0.1423, MAE no teste = 0.1436
Época 6: MSE no treinamento = 0.0277, MSE na validação = 0.0296, MSE no teste = 0.0306
Época 6: R-squared no treinamento = 0.6609, R-squared na validação = 0.6589, R-squared no teste = 0.6232
Época 6: LOSS no treinamento = 0.0143, LOSS na validação = 0.6589, LOSS no teste = 0.6232
Época 7: MAE no treinamento = 0.1345, MAE na validação = 0.1407, MAE no teste = 0.1422
Época 7: MSE no treinamento = 0.0270, MSE na validação = 0.0290, MSE no teste = 0.0301
Época 7: R-squared no treinamento = 0.6690, R-squared na validação = 0.6648, R-squared no teste = 0.6288
Época 7: LOSS no treinamento = 0.0139, LOSS na validação = 0.6648, LOSS no teste = 0.6288
Época 8: MAE no treinamento = 0.1330, MAE na validação = 0.1401, MAE no teste = 0.1416
Época 8: MSE no treinamento = 0.0264, MSE na validação = 0.0285, MSE no teste = 0.0297
Época 8: R-squared no treinamento = 0.6775, R-squared na validação = 0.6705, R-squared no teste = 0.6341
Época 8: LOSS no treinamento = 0.0135, LOSS na validação = 0.6705, LOSS no teste = 0.6341
Época 9: MAE no treinamento = 0.1318, MAE na validação = 0.1391, MAE no teste = 0.1410
Época 9: MSE no treinamento = 0.0258, MSE na validação = 0.0280, MSE no teste = 0.0293
Época 9: R-squared no treinamento = 0.6847, R-squared na validação = 0.6773, R-squared no teste = 0.6391
Época 9: LOSS no treinamento = 0.0132, LOSS na validação = 0.6773, LOSS no teste = 0.6391
Época 10: MAE no treinamento = 0.1306, MAE na validação = 0.1378, MAE no teste = 0.1402
Época 10: MSE no treinamento = 0.0253, MSE na validação = 0.0274, MSE no teste = 0.0290
Época 10: R-squared no treinamento = 0.6904, R-squared na validação = 0.6837, R-squared no teste = 0.6431
Época 10: LOSS no treinamento = 0.0129, LOSS na validação = 0.6837, LOSS no teste = 0.6431
Época 11: MAE no treinamento = 0.1294, MAE na validação = 0.1366, MAE no teste = 0.1393
Época 11: MSE no treinamento = 0.0249, MSE na validação = 0.0270, MSE no teste = 0.0287
Época 11: R-squared no treinamento = 0.6948, R-squared na validação = 0.6887, R-squared no teste = 0.6467
Época 11: LOSS no treinamento = 0.0127, LOSS na validação = 0.6887, LOSS no teste = 0.6467
Época 12: MAE no treinamento = 0.1283, MAE na validação = 0.1356, MAE no teste = 0.1385
Época 12: MSE no treinamento = 0.0246, MSE na validação = 0.0267, MSE no teste = 0.0284
Época 12: R-squared no treinamento = 0.6984, R-squared na validação = 0.6922, R-squared no teste = 0.6498
Época 12: LOSS no treinamento = 0.0125, LOSS na validação = 0.6922, LOSS no teste = 0.6498
Época 13: MAE no treinamento = 0.1274, MAE na validação = 0.1350, MAE no teste = 0.1379
Época 13: MSE no treinamento = 0.0244, MSE na validação = 0.0264, MSE no teste = 0.0282
Época 13: R-squared no treinamento = 0.7017, R-squared na validação = 0.6946, R-squared no teste = 0.6524
Época 13: LOSS no treinamento = 0.0124, LOSS na validação = 0.6946, LOSS no teste = 0.6524
Época 14: MAE no treinamento = 0.1266, MAE na validação = 0.1345, MAE no teste = 0.1375
Época 14: MSE no treinamento = 0.0241, MSE na validação = 0.0263, MSE no teste = 0.0280
Época 14: R-squared no treinamento = 0.7046, R-squared na validação = 0.6963, R-squared no teste = 0.6547
Época 14: LOSS no treinamento = 0.0123, LOSS na validação = 0.6963, LOSS no teste = 0.6547
