componentes_principais,autovalores
PC1,45297963.67821575
PC2,2178007.948946529
PC3,931350.6121972839
PC4,375533.13751095324
PC5,103712.8963701282
PC6,43100.2623148349
PC7,13205.767152592794
PC8,10827.129356837371
PC9,9054.391551800687
PC10,6851.312842486623
PC11,4869.916285668251
PC12,4802.726032147699
PC13,3490.394093596314
PC14,2231.5065543474475
PC15,2106.6476615660845
PC16,1811.051194753645
PC17,1653.014799364659
PC18,1301.8190173216954
PC19,1254.3792563915986
PC20,1096.5058512353355
PC21,1019.9526414399254
PC22,855.9335120254029
PC23,810.3384692620971
PC24,783.16168111752
PC25,645.2673569040584
PC26,584.3427299837854
PC27,567.4465450370698
PC28,561.7944630055163
PC29,476.9714955296596
PC30,385.5317788951181
PC31,355.15934291679554
PC32,327.8130854138123
PC33,309.26247623321916
PC34,292.6345552810497
PC35,268.0151439004311
PC36,242.63788021153766
PC37,234.0587169971776
PC38,227.47249052078155
PC39,208.4221275073327
PC40,193.2050232720978
PC41,183.03842650586233
PC42,164.17790273161853
PC43,161.18469257181957
PC44,154.0251944235819
PC45,152.02336571372922
PC46,146.03130030840404
PC47,144.61143513775514
PC48,139.98723929592964
PC49,125.91980949661657
PC50,123.39701665597707
PC51,116.60793985538236
PC52,115.89022498717469
PC53,112.6024733739647
PC54,109.95596694796882
PC55,105.68641750908169
PC56,103.72877216620903
PC57,102.47436134206589
PC58,98.78512625570633
PC59,96.88680804458853
PC60,92.56102036440532
PC61,92.15076586894891
PC62,89.73333170296485
PC63,85.90162468767804
PC64,83.59653048020412
PC65,82.59454056942872
PC66,81.40371968606084
PC67,81.21637986320577
PC68,80.11666388368671
PC69,76.34199234188557
PC70,75.26436019283476
PC71,74.88818402227903
PC72,74.49857400084565
PC73,71.8201771951599
PC74,70.28630922340271
PC75,70.15725592868691
PC76,69.83948956242729
PC77,67.5416855738918
PC78,66.62848739466158
PC79,65.71322327337165
PC80,65.1111043406146
PC81,64.13869045245572
PC82,63.75772947114652
PC83,62.85241487060405
PC84,62.46576720892428
PC85,61.24531615226949
