componentes_principais,autovalores
PC1,9970884.360463712
PC2,492677.78036985494
PC3,237268.69677815153
PC4,40551.890641177364
PC5,14863.19067502894
PC6,5856.520829395615
PC7,1469.074406482167
PC8,1232.4283807348968
PC9,963.1990241408239
PC10,784.1402157903804
PC11,631.186883114709
PC12,409.85792025099425
PC13,338.05500190567886
PC14,325.8604010632257
PC15,270.8478066034503
PC16,222.48658790167752
PC17,206.6065220324681
PC18,146.9221923532077
PC19,144.67781356805637
PC20,133.17340227901283
PC21,128.9564714020904
PC22,115.41056682287451
PC23,99.7630813634877
PC24,93.91024463907185
PC25,76.12477030415656
PC26,73.38155690510018
PC27,66.58259871286187
PC28,63.00945367807319
PC29,62.10248654936597
PC30,54.63788487238119
PC31,49.71476427349702
PC32,45.780937015447094
PC33,43.36870122828239
PC34,40.74088057268241
PC35,38.05175578033581
PC36,36.33670117098827
PC37,35.72767673386637
PC38,34.23197778639017
PC39,31.555139540884493
PC40,30.347716401656218
PC41,29.1564886172616
PC42,26.307103770321316
PC43,26.071851076994736
PC44,25.014389288797123
PC45,24.278234276195956
PC46,22.91661216130479
PC47,22.43903403395238
PC48,21.67954732086886
PC49,21.522075425955503
PC50,20.549693855361756
PC51,20.102687669172187
PC52,19.65665699598635
PC53,19.227736933092864
PC54,18.447119185436605
PC55,17.960123992515054
PC56,17.350663556521628
PC57,16.896378305634876
PC58,16.6529756015922
PC59,16.319317210359372
PC60,15.948647840881753
PC61,15.219356607494946
PC62,14.978146263415919
PC63,14.721334144251024
PC64,14.41375627865878
PC65,14.150588559677484
PC66,13.706047253807846
PC67,13.294965553882221
PC68,12.640828184133857
PC69,12.531249655294767
PC70,12.376811291763817
PC71,12.058950812581346
PC72,11.80015653926087
PC73,11.728852982654306
PC74,11.683725377468551
PC75,11.60787254938302
PC76,11.06267829164869
PC77,10.790491263634866
PC78,10.853555746116452
PC79,10.595395147412797
PC80,10.430577461370161
PC81,10.177243253510799
PC82,9.958666094994541
PC83,9.85353549587052
PC84,9.678903116121134
PC85,9.57843140183933
PC86,9.352108667044071
PC87,9.382754980362304
PC88,9.124837303372143
PC89,8.923114128658172
PC90,8.777498825233563
PC91,8.86956405436473
PC92,8.517409989596544
PC93,8.222231757035297
PC94,8.270366951964224
